Compiling 501 files (.ex)
[profile] lib/foo_1100.ex compiled in 924ms
[profile] lib/foo_4550.ex compiled in 4702ms
[profile] lib/foo_2810.ex compiled in 3791ms
[profile] lib/foo_3300.ex compiled in 3963ms
[profile] lib/foo_1680.ex compiled in 1659ms
[profile] lib/foo_3940.ex compiled in 4925ms
[profile] lib/foo_1260.ex compiled in 816ms
[profile] lib/foo_2990.ex compiled in 2933ms
[profile] lib/foo_4510.ex compiled in 5817ms
[profile] lib/foo_3870.ex compiled in 5982ms
[profile] lib/foo_2180.ex compiled in 1611ms
[profile] lib/foo_270.ex compiled in 451ms
[profile] lib/foo_4920.ex compiled in 6322ms
[profile] lib/foo_2210.ex compiled in 2316ms
[profile] lib/foo_1270.ex compiled in 950ms
[profile] lib/foo_2930.ex compiled in 2682ms
[profile] lib/foo_1080.ex compiled in 687ms
[profile] lib/foo_3880.ex compiled in 3055ms
[profile] lib/foo_140.ex compiled in 420ms
[profile] lib/foo_970.ex compiled in 626ms
[profile] lib/foo_1040.ex compiled in 1178ms
[profile] lib/foo_3570.ex compiled in 2689ms
[profile] lib/foo_3800.ex compiled in 3347ms
[profile] lib/foo_1430.ex compiled in 977ms
[profile] lib/foo_3280.ex compiled in 3247ms
[profile] lib/foo_3470.ex compiled in 2837ms
[profile] lib/foo_3890.ex compiled in 3237ms
[profile] lib/foo_4710.ex compiled in 3366ms
[profile] lib/foo_4570.ex compiled in 3732ms
[profile] Finished compilation cycle of 501 modules in 190378ms
[profile] Finished group pass check of 501 modules in 3225ms
Generated foo app
